"ucb1 sequential init:","ucb1 random init:","ucb1discount sequential init:","ucb1discount random init:","ucb1window sequential init:","ucb1window random init:","thompson non optimistic","thompson optimistic:","rexp3 gamma=0.99:"
"1.0","0.1","1.0","0.1","1.0","0.14","0.0","0.0","0.15"
"0.0","0.11","0.0","0.1","0.0","0.08","0.0","0.0","0.16"
"0.0","0.09","0.0","0.1","0.0","0.09","1.0","1.0","0.06"
"1.0","0.3","1.0","0.3","1.0","0.31","0.0","0.0","0.15"
"1.0","0.3","1.0","0.3","0.0","0.0","0.0","0.0","0.15"
"1.0","0.3","1.0","0.3","0.0","0.21","1.0","1.0","0.07"
"1.0","0.3","1.0","0.3","1.0","0.1","1.0","1.0","0.11"
"1.0","0.3","0.0","0.3","0.0","0.21","1.0","1.0","0.08"
"1.0","0.3","1.0","0.1","1.0","0.1","1.0","1.0","0.06"
"1.0","0.3","1.0","0.2","0.0","0.21","1.0","1.0","0.06"
"1.0","0.3","1.0","0.2","1.0","0.31","1.0","1.0","0.12"
"1.0","0.3","0.0","0.3","0.0","0.0","1.0","1.0","0.12"
"1.0","0.3","1.0","0.3","1.0","0.31","1.0","1.0","0.1"
"1.0","0.3","1.0","0.2","1.0","0.31","1.0","1.0","0.12"
"1.0","0.3","0.0","0.3","0.0","0.0","1.0","1.0","0.13"
"1.0","0.3","1.0","0.1","0.0","0.21","1.0","1.0","0.08"
"1.0","0.3","1.0","0.2","1.0","0.1","1.0","1.0","0.11"
"1.0","0.3","1.0","0.2","1.0","0.31","1.0","1.0","0.13"
"1.0","0.3","1.0","0.3","1.0","0.31","1.0","1.0","0.12"
"1.0","0.3","1.0","0.2","0.0","0.21","1.0","1.0","0.11"
"1.0","0.3","0.0","0.3","0.0","0.0","1.0","1.0","0.13"
"1.0","0.3","0.0","0.3","1.0","0.31","1.0","1.0","0.08"
"1.0","0.3","1.0","0.2","1.0","0.31","1.0","1.0","0.12"
"1.0","0.3","1.0","0.3","0.0","0.21","1.0","1.0","0.13"
"1.0","0.3","1.0","0.2","1.0","0.1","1.0","1.0","0.11"
"1.0","0.3","1.0","0.2","1.0","0.18","1.0","1.0","0.12"
"1.0","0.3","1.0","0.2","0.0","0.13","1.0","1.0","0.11"
"1.0","0.3","1.0","0.3","1.0","0.31","1.0","1.0","0.16"
"1.0","0.3","0.0","0.1","0.0","0.21","1.0","1.0","0.05"
"1.0","0.3","0.0","0.2","1.0","0.31","1.0","1.0","0.17"
"1.0","0.3","1.0","0.3","1.0","0.1","1.0","1.0","0.1"
"1.0","0.3","1.0","0.3","1.0","0.31","1.0","1.0","0.12"
"1.0","0.3","1.0","0.2","0.0","0.21","1.0","1.0","0.12"
"1.0","0.3","1.0","0.2","0.0","0.21","1.0","1.0","0.1"
"1.0","0.3","1.0","0.3","1.0","0.31","1.0","1.0","0.21"
"1.0","0.3","0.0","0.3","1.0","0.1","1.0","1.0","0.05"
"1.0","0.3","1.0","0.2","1.0","0.31","1.0","1.0","0.09"
"1.0","0.3","1.0","0.2","0.0","0.21","1.0","1.0","0.09"
"1.0","0.3","0.0","0.3","1.0","0.31","1.0","1.0","0.1"
"1.0","0.3","1.0","0.2","1.0","0.18","1.0","1.0","0.11"
"1.0","0.3","1.0","0.2","0.0","0.13","1.0","1.0","0.13"
"1.0","0.3","1.0","0.1","1.0","0.1","1.0","1.0","0.12"
"1.0","0.3","0.0","0.3","0.0","0.21","1.0","1.0","0.14"
"1.0","0.3","1.0","0.2","1.0","0.31","1.0","1.0","0.16"
"1.0","0.3","1.0","0.3","1.0","0.31","1.0","1.0","0.08"
"1.0","0.3","1.0","0.3","1.0","0.31","1.0","1.0","0.12"
"1.0","0.3","1.0","0.2","1.0","0.31","1.0","1.0","0.17"
"1.0","0.3","0.0","0.3","0.0","0.0","1.0","1.0","0.12"
"1.0","0.3","1.0","0.2","0.0","0.21","1.0","1.0","0.07"
"1.0","0.3","0.0","0.2","1.0","0.31","1.0","1.0","0.14"
"1.0","0.3","1.0","0.2","1.0","0.31","1.0","1.0","0.08"
"1.0","0.3","1.0","0.3","1.0","0.14","1.0","1.0","0.09"
"1.0","0.3","1.0","0.2","0.0","0.08","1.0","1.0","0.2"
"1.0","0.3","1.0","0.3","0.0","0.09","1.0","1.0","0.12"
"1.0","0.3","1.0","0.2","1.0","0.31","1.0","1.0","0.09"
"1.0","0.3","1.0","0.2","0.0","0.0","1.0","1.0","0.09"
"1.0","0.3","0.0","0.2","1.0","0.31","1.0","1.0","0.18"
"1.0","0.3","0.0","0.1","0.0","0.0","1.0","1.0","0.13"
"1.0","0.3","1.0","0.3","0.0","0.21","1.0","1.0","0.09"
"1.0","0.3","1.0","0.3","1.0","0.1","1.0","1.0","0.09"
"1.0","0.3","1.0","0.3","1.0","0.31","1.0","1.0","0.06"
"1.0","0.3","1.0","0.3","1.0","0.31","1.0","1.0","0.14"
"1.0","0.3","1.0","0.3","0.0","0.0","1.0","1.0","0.16"
"1.0","0.3","0.0","0.3","0.0","0.21","1.0","1.0","0.13"
"1.0","0.3","1.0","0.1","1.0","0.31","1.0","1.0","0.13"
"1.0","0.3","1.0","0.1","1.0","0.1","1.0","1.0","0.18"
"1.0","0.3","0.0","0.2","0.0","0.21","1.0","1.0","0.14"
"1.0","0.3","1.0","0.2","1.0","0.1","1.0","1.0","0.11"
"1.0","0.3","1.0","0.3","1.0","0.31","1.0","1.0","0.1"
"1.0","0.3","1.0","0.3","0.0","0.21","1.0","1.0","0.05"
"1.0","0.3","0.0","0.3","0.0","0.21","1.0","1.0","0.12"
"1.0","0.3","1.0","0.2","1.0","0.1","1.0","1.0","0.09"
"1.0","0.3","1.0","0.2","1.0","0.31","1.0","1.0","0.13"
"1.0","0.3","1.0","0.3","1.0","0.31","1.0","1.0","0.1"
"1.0","0.3","1.0","0.1","0.0","0.21","1.0","1.0","0.08"
"1.0","0.3","0.0","0.3","1.0","0.24","1.0","1.0","0.13"
"1.0","0.3","1.0","0.3","0.0","0.07","1.0","1.0","0.1"
"1.0","0.3","0.0","0.3","1.0","0.1","1.0","1.0","0.07"
"1.0","0.3","1.0","0.1","1.0","0.31","1.0","1.0","0.17"
"1.0","0.3","1.0","0.3","0.0","0.21","1.0","1.0","0.11"
"1.0","0.3","1.0","0.2","1.0","0.31","1.0","1.0","0.11"
"1.0","0.3","1.0","0.2","1.0","0.01","1.0","1.0","0.09"
"1.0","0.3","1.0","0.2","0.0","0.3","1.0","1.0","0.07"
"1.0","0.3","1.0","0.2","0.0","0.21","1.0","1.0","0.11"
"1.0","0.3","0.0","0.3","1.0","0.31","1.0","1.0","0.07"
"1.0","0.3","0.0","0.2","1.0","0.31","1.0","1.0","0.15"
"1.0","0.3","1.0","0.3","1.0","0.1","1.0","1.0","0.14"
"1.0","0.3","1.0","0.3","0.0","0.21","1.0","1.0","0.13"
"1.0","0.3","1.0","0.3","0.0","0.21","1.0","1.0","0.09"
"1.0","0.3","1.0","0.2","1.0","0.31","1.0","1.0","0.06"
"1.0","0.3","1.0","0.2","1.0","0.18","1.0","1.0","0.17"
"1.0","0.3","0.0","0.2","1.0","0.23","1.0","1.0","0.09"
"1.0","0.3","1.0","0.2","1.0","0.1","1.0","1.0","0.09"
"1.0","0.3","1.0","0.1","0.0","0.21","1.0","1.0","0.12"
"1.0","0.3","0.0","0.3","0.0","0.21","1.0","1.0","0.13"
"1.0","0.3","1.0","0.3","1.0","0.31","1.0","1.0","0.13"
"1.0","0.3","1.0","0.3","1.0","0.31","1.0","1.0","0.1"
"1.0","0.3","1.0","0.2","1.0","0.31","1.0","1.0","0.14"
"1.0","0.3","0.0","0.2","0.0","0.0","1.0","1.0","0.12"
"1.0","0.3","1.0","0.2","0.0","0.21","1.0","1.0","0.14"
